longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,90250.0,INLAND
-119.03,34.24,25.0,3655.0,545.0,1776.0,544.0,5.687,249899.0,<1H OCEAN
-117.0,32.77,30.0,1802.0,401.0,776.0,386.0,2.8125,168273.0,<1H OCEAN
-120.84,35.31,23.0,3100.0,603.0,1515.0,609.0,2.8493,201236.0,NEAR OCEAN
-118.33,34.08,50.0,2989.0,832.0,1345.0,775.0,3.2426,405106.01,<1H OCEAN
-118.05,33.81,26.0,2523.0,437.0,1377.0,450.0,5.2542,235335.0,<1H OCEAN
-117.94,34.08,32.0,2704.0,514.0,1669.0,497.0,4.4653,195557.0,<1H OCEAN
-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,248409.0,<1H OCEAN
-122.0,37.27,33.0,1664.0,271.0,759.0,272.0,5.7876,371796.0,<1H OCEAN
-121.89,37.3,47.0,2355.0,426.0,961.0,428.0,5.3955,310614.03,<1H OCEAN
-117.22,32.74,52.0,1260.0,202.0,555.0,209.0,7.2758,355024.03,NEAR OCEAN
-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,91141.0,INLAND
-118.39,34.02,38.0,2447.0,636.0,1312.0,574.0,3.5909,292540.01,<1H OCEAN
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,97337.0,INLAND
-118.02,34.09,32.0,1747.0,399.0,1199.0,402.0,3.4286,202549.0,INLAND
-118.59,34.21,34.0,2389.0,521.0,1560.0,514.0,4.8333,225061.0,<1H OCEAN
-116.8,33.52,3.0,830.0,145.0,272.0,104.0,3.8281,160897.03,INLAND
-118.19,33.85,45.0,1167.0,302.0,773.0,287.0,3.2798,169126.0,NEAR OCEAN
-117.18,32.8,10.0,3821.0,631.0,1605.0,609.0,5.5454,241147.01,NEAR OCEAN
-117.86,33.71,36.0,191.0,42.0,208.0,37.0,3.375,165162.0,<1H OCEAN
-118.08,33.97,38.0,1026.0,190.0,789.0,193.0,4.2,165065.0,<1H OCEAN
-117.36,34.0,19.0,4592.0,895.0,2769.0,838.0,3.3622,109209.0,INLAND
-121.78,37.97,4.0,17032.0,2546.0,7653.0,2359.0,5.5601,212604.0,INLAND
-121.27,38.13,40.0,2402.0,509.0,1197.0,486.0,2.1771,90518.0,INLAND
-118.67,34.28,21.0,4059.0,598.0,2133.0,634.0,5.6949,242806.0,<1H OCEAN
-121.83,37.37,43.0,1461.0,284.0,800.0,258.0,3.2279,188522.0,<1H OCEAN
-122.53,37.92,45.0,1530.0,324.0,608.0,328.0,3.875,378491.0,NEAR BAY
-117.91,33.73,26.0,2413.0,512.0,2867.0,509.0,4.7639,186848.0,<1H OCEAN
-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,50528.0,INLAND
-117.9,33.64,28.0,2466.0,507.0,1081.0,465.0,3.9375,315008.01,<1H OCEAN
-121.01,37.66,36.0,3679.0,613.0,1366.0,581.0,4.5,160173.0,INLAND
-122.38,40.61,14.0,4773.0,1133.0,2101.0,1072.0,1.7227,97486.0,INLAND
-122.17,37.73,52.0,1555.0,289.0,620.0,292.0,3.7159,194749.0,NEAR BAY
-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,133099.0,INLAND
-117.06,32.57,25.0,1268.0,282.0,991.0,299.0,3.0284,122666.0,NEAR OCEAN
-117.9,34.07,36.0,1009.0,164.0,466.0,149.0,5.8519,254655.0,<1H OCEAN
-120.48,35.05,24.0,2314.0,468.0,1549.0,463.0,2.8203,158969.0,<1H OCEAN
-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183,230668.0,INLAND
-117.17,32.73,52.0,408.0,143.0,313.0,143.0,1.815,138766.01,NEAR OCEAN
-120.67,37.97,9.0,7450.0,1475.0,2233.0,930.0,2.6528,129597.0,INLAND
-122.31,37.93,36.0,1526.0,256.0,696.0,263.0,3.5089,244509.0,NEAR BAY
-118.08,33.77,26.0,2461.0,562.0,971.0,544.0,2.1944,95965.0,<1H OCEAN
-117.08,32.74,33.0,3260.0,673.0,1784.0,666.0,3.5078,134760.0,NEAR OCEAN
-120.65,35.41,15.0,6725.0,1111.0,3139.0,1029.0,4.1875,256091.01,<1H OCEAN
-118.14,33.9,26.0,2145.0,471.0,1150.0,429.0,3.5972,215705.0,<1H OCEAN
-122.62,38.25,24.0,2388.0,358.0,1187.0,362.0,4.6534,214485.0,<1H OCEAN
-121.46,38.58,40.0,1394.0,397.0,689.0,353.0,1.7765,100719.0,INLAND
-120.97,37.69,14.0,5514.0,909.0,2819.0,970.0,3.8598,166523.0,INLAND
-118.09,33.84,27.0,1594.0,295.0,1061.0,320.0,4.7917,211393.0,<1H OCEAN
-118.48,34.31,31.0,1091.0,256.0,892.0,238.0,3.0,177813.0,<1H OCEAN
-118.68,34.33,45.0,121.0,25.0,67.0,27.0,2.9821,300966.06,<1H OCEAN
-119.79,36.81,33.0,1461.0,261.0,494.0,254.0,4.25,117847.0,INLAND
-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,184653.0,<1H OCEAN
-118.42,34.24,17.0,2049.0,548.0,2243.0,541.0,2.525,176033.0,<1H OCEAN
-118.36,33.97,19.0,4651.0,1281.0,2917.0,1121.0,2.6823,159598.01,<1H OCEAN
-119.04,35.32,20.0,37.0,11.0,34.0,8.0,1.2,80279.0,INLAND
-118.02,34.15,44.0,2267.0,426.0,980.0,372.0,3.6,282304.0,INLAND
-117.21,33.2,22.0,3337.0,518.0,1288.0,466.0,5.04,249679.0,<1H OCEAN
-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,380517.24,<1H OCEAN
-119.79,36.31,25.0,4984.0,1029.0,2414.0,961.0,2.2937,72558.0,INLAND
-118.17,34.05,35.0,1256.0,294.0,2990.0,302.0,3.1528,129677.0,<1H OCEAN
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,135264.0,NEAR BAY
-118.22,33.98,36.0,1514.0,453.0,1496.0,448.0,2.1044,147673.0,<1H OCEAN
-120.72,38.57,8.0,892.0,185.0,427.0,164.0,2.6833,124452.0,INLAND
-121.66,37.93,19.0,2055.0,358.0,1064.0,350.0,4.7426,237279.0,INLAND
-118.42,34.01,29.0,1996.0,489.0,960.0,449.0,3.6611,367396.08,<1H OCEAN
-117.78,33.68,19.0,2500.0,331.0,1027.0,327.0,6.115,301290.0,<1H OCEAN
-118.42,34.32,30.0,3027.0,604.0,1970.0,590.0,4.3409,174518.01,<1H OCEAN
-117.09,32.66,46.0,844.0,147.0,423.0,161.0,3.375,140350.0,NEAR OCEAN
-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,370290.04,NEAR BAY
-117.65,34.06,41.0,1171.0,334.0,1479.0,334.0,2.25,97461.0,INLAND
-121.98,37.35,36.0,1054.0,193.0,546.0,187.0,4.5625,249105.0,<1H OCEAN
-117.27,32.82,42.0,2820.0,488.0,1175.0,500.0,4.5083,401010.07,NEAR OCEAN
-119.19,34.17,35.0,4276.0,767.0,3295.0,708.0,4.2583,194320.0,NEAR OCEAN
-117.11,32.78,16.0,2220.0,512.0,930.0,527.0,3.6528,145575.0,NEAR OCEAN
-122.11,38.01,39.0,1313.0,306.0,575.0,231.0,3.1711,127502.0,NEAR BAY
-118.17,33.91,42.0,856.0,167.0,748.0,195.0,3.8,142521.0,<1H OCEAN
-118.16,34.71,27.0,6007.0,998.0,2680.0,882.0,4.1719,125292.0,INLAND
-122.26,37.87,52.0,1087.0,371.0,3337.0,350.0,1.4012,227327.06,NEAR BAY
-117.26,32.98,12.0,3900.0,977.0,1690.0,892.0,4.125,244568.0,NEAR OCEAN
-117.93,34.04,23.0,6361.0,1168.0,4580.0,1109.0,4.9342,201282.0,<1H OCEAN
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,155631.0,NEAR BAY
-122.06,37.63,12.0,6711.0,1374.0,3388.0,1289.0,3.8625,209491.0,NEAR BAY
-118.3,33.73,40.0,2582.0,606.0,1304.0,588.0,3.5694,273610.0,NEAR OCEAN
-118.28,34.05,44.0,968.0,384.0,1805.0,375.0,1.4801,208403.0,<1H OCEAN
-117.77,33.69,15.0,500.0,113.0,261.0,116.0,5.0631,174125.02,<1H OCEAN
-117.14,32.76,35.0,1785.0,493.0,965.0,506.0,2.0792,150673.0,NEAR OCEAN
-118.61,34.31,4.0,1949.0,458.0,868.0,398.0,5.0151,274488.0,<1H OCEAN
-118.29,34.01,42.0,814.0,223.0,511.0,188.0,2.3942,130104.0,<1H OCEAN
-122.36,38.03,32.0,2159.0,393.0,981.0,369.0,4.3173,174295.0,NEAR BAY
-122.61,38.09,18.0,6205.0,821.0,2311.0,756.0,6.9081,366247.01,<1H OCEAN
-117.22,32.75,34.0,6001.0,1111.0,2654.0,1072.0,4.5878,287945.0,NEAR OCEAN
-117.88,33.84,25.0,1781.0,349.0,918.0,378.0,3.9286,237643.0,<1H OCEAN
-117.34,33.71,10.0,2591.0,486.0,1255.0,425.0,3.1513,161506.0,<1H OCEAN
-122.09,37.65,35.0,1184.0,200.0,572.0,194.0,4.7143,195205.0,NEAR BAY
-121.93,37.25,21.0,1354.0,289.0,639.0,273.0,4.5333,258429.0,<1H OCEAN
-121.96,37.74,2.0,200.0,20.0,25.0,9.0,15.0001,350548.08,<1H OCEAN
-117.77,34.08,27.0,5929.0,932.0,2817.0,828.0,6.0434,226190.01,INLAND
-118.09,34.15,49.0,1467.0,259.0,688.0,260.0,4.3452,285069.0,INLAND
-119.71,36.88,17.0,2236.0,315.0,992.0,312.0,6.9405,196908.0,INLAND
-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,78250.0,NEAR OCEAN
-123.72,41.09,19.0,1970.0,431.0,1166.0,363.0,1.8208,56386.0,<1H OCEAN
-118.14,34.2,39.0,2569.0,426.0,1282.0,432.0,5.0953,239023.0,INLAND
-119.05,36.09,9.0,3297.0,568.0,1749.0,568.0,4.0217,97154.0,INLAND
-118.09,34.15,52.0,670.0,141.0,268.0,110.0,3.5568,221153.0,INLAND
-118.36,34.16,45.0,1755.0,335.0,822.0,342.0,5.1423,333172.02,<1H OCEAN
-118.57,34.17,31.0,1950.0,383.0,870.0,357.0,3.1875,397447.58,<1H OCEAN
-120.86,37.76,32.0,964.0,198.0,623.0,201.0,3.0917,111978.0,INLAND
-121.19,39.55,17.0,1483.0,284.0,481.0,211.0,1.4896,85575.0,INLAND
-118.31,34.06,14.0,1559.0,646.0,1639.0,567.0,1.9949,330962.0,<1H OCEAN
-117.06,33.09,11.0,7483.0,1276.0,3516.0,1261.0,4.0484,234189.0,<1H OCEAN
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,229730.0,NEAR BAY
-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,54544.0,INLAND
-117.04,34.0,25.0,3750.0,781.0,1594.0,785.0,2.4167,104961.0,INLAND
-119.34,36.62,26.0,1922.0,339.0,1148.0,332.0,2.6058,88622.0,INLAND
-119.76,36.74,52.0,2137.0,448.0,1194.0,444.0,1.3029,67865.0,INLAND
-120.43,34.7,26.0,2353.0,389.0,1420.0,389.0,3.87,141832.0,NEAR OCEAN
-122.49,37.98,34.0,1256.0,178.0,460.0,174.0,6.4271,414436.02,NEAR BAY
-118.24,33.97,37.0,1212.0,314.0,1403.0,279.0,2.5536,115956.0,<1H OCEAN
-121.63,40.92,23.0,1922.0,411.0,872.0,350.0,2.2337,65639.0,INLAND
-122.36,37.93,17.0,1258.0,254.0,885.0,229.0,3.05,129288.0,NEAR BAY
-118.33,33.98,38.0,3063.0,796.0,2153.0,721.0,1.8472,142634.0,<1H OCEAN
-118.17,34.06,36.0,871.0,201.0,2862.0,181.0,2.1845,127084.0,<1H OCEAN
-117.35,33.95,28.0,1650.0,210.0,557.0,211.0,7.6632,266451.08,INLAND
-122.07,37.95,39.0,2199.0,388.0,1025.0,385.0,4.5893,195212.0,NEAR BAY
-121.79,37.33,18.0,3611.0,614.0,2381.0,642.0,5.6345,242338.0,<1H OCEAN
-121.83,36.61,27.0,2248.0,466.0,1644.0,453.0,3.2545,146774.0,<1H OCEAN
-122.07,37.86,23.0,1025.0,205.0,263.0,191.0,3.12,177680.0,NEAR BAY
-122.26,37.52,34.0,483.0,131.0,291.0,157.0,3.0833,272400.01,NEAR OCEAN
-118.19,34.04,45.0,963.0,234.0,1194.0,239.0,2.1806,138478.0,<1H OCEAN
-119.81,34.44,14.0,961.0,305.0,662.0,286.0,3.2115,202085.0,NEAR OCEAN
-118.09,33.96,36.0,1116.0,229.0,719.0,233.0,3.425,169208.0,<1H OCEAN
-122.08,37.64,30.0,5267.0,1253.0,4065.0,1113.0,3.3479,190361.0,NEAR BAY
-121.58,39.83,16.0,4591.0,904.0,1904.0,812.0,2.2419,88788.0,INLAND
-122.79,39.09,20.0,1798.0,395.0,685.0,331.0,1.625,71416.0,INLAND
-118.2,33.88,40.0,1699.0,346.0,1188.0,329.0,4.2083,156290.0,<1H OCEAN
-117.95,33.82,35.0,1068.0,190.0,514.0,174.0,4.0735,207303.0,<1H OCEAN
-122.12,37.29,11.0,436.0,70.0,212.0,75.0,8.6196,463650.66,<1H OCEAN
-117.11,32.68,36.0,26.0,14.0,58.0,23.0,1.9107,131477.02,NEAR OCEAN
-118.32,34.16,49.0,1074.0,170.0,403.0,208.0,6.2547,371365.07,<1H OCEAN
-117.97,34.08,30.0,2227.0,474.0,1961.0,481.0,3.3261,155052.0,INLAND
-117.96,34.07,35.0,2819.0,529.0,1508.0,485.0,4.6118,194961.0,<1H OCEAN
-117.29,33.08,18.0,3225.0,515.0,1463.0,476.0,5.7787,340410.06,NEAR OCEAN
-122.08,37.24,21.0,427.0,63.0,182.0,70.0,11.3283,494084.92,<1H OCEAN
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,93596.0,INLAND
-118.55,34.03,35.0,9075.0,1858.0,3646.0,1724.0,6.0307,461981.65,<1H OCEAN
-122.43,37.79,52.0,3219.0,969.0,1152.0,830.0,4.2042,495984.96,NEAR BAY
-121.3,38.13,23.0,2864.0,504.0,1298.0,499.0,3.2303,130938.0,INLAND
-121.67,39.14,22.0,2264.0,390.0,1056.0,403.0,3.6111,113937.0,INLAND
-117.24,32.71,32.0,4164.0,701.0,1277.0,607.0,6.6661,476340.7,NEAR OCEAN
-118.0,33.88,18.0,2628.0,720.0,2276.0,649.0,2.735,172510.0,<1H OCEAN
-119.48,35.17,36.0,116.0,20.0,39.0,18.0,3.125,74789.04,INLAND
-118.11,34.16,52.0,2489.0,437.0,1101.0,438.0,4.2065,312764.0,INLAND
-118.08,33.89,33.0,2131.0,435.0,2045.0,426.0,4.0,154540.0,<1H OCEAN
-118.32,34.0,50.0,3250.0,693.0,2300.0,675.0,1.95,117522.0,<1H OCEAN
-117.11,32.75,18.0,1943.0,587.0,1329.0,522.0,1.7696,104710.0,NEAR OCEAN
-121.82,39.76,23.0,6010.0,1116.0,2710.0,1149.0,3.0068,110155.0,INLAND
-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,309895.03,NEAR BAY
-118.17,33.78,23.0,3768.0,1261.0,3940.0,1098.0,1.9647,176611.0,NEAR OCEAN
-119.27,34.27,52.0,1577.0,343.0,836.0,335.0,3.5893,235269.06,NEAR OCEAN
-118.87,35.37,14.0,2458.0,433.0,1352.0,411.0,3.5441,86094.0,INLAND
-121.28,38.61,23.0,2547.0,504.0,1235.0,469.0,2.4722,114826.0,INLAND
-118.07,34.1,34.0,2253.0,522.0,1262.0,511.0,3.4375,246632.0,<1H OCEAN
-118.19,34.22,32.0,10626.0,1504.0,4353.0,1482.0,9.8413,500001.0,<1H OCEAN
-122.38,40.67,10.0,2281.0,444.0,1274.0,438.0,2.212,72701.0,INLAND
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,265095.0,NEAR BAY
-121.49,38.49,26.0,4629.0,832.0,2902.0,816.0,2.735,79668.0,INLAND
-122.05,37.93,15.0,7803.0,1603.0,2957.0,1546.0,4.45,205763.0,NEAR BAY
-122.06,37.7,37.0,1893.0,310.0,821.0,315.0,4.6005,228720.0,NEAR BAY
-122.02,37.36,21.0,2471.0,677.0,1486.0,689.0,3.9038,249032.0,<1H OCEAN
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,198555.0,<1H OCEAN
-122.04,37.65,10.0,8299.0,1326.0,3827.0,1288.0,6.2579,302731.0,NEAR BAY
-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,133781.01,INLAND
-123.41,41.6,23.0,1654.0,369.0,669.0,273.0,1.965,66763.0,INLAND
-121.62,36.69,11.0,4712.0,1098.0,5982.0,1105.0,2.5986,136697.0,<1H OCEAN
-120.1,39.17,33.0,1849.0,384.0,218.0,92.0,1.7083,126988.0,INLAND
-117.34,34.12,26.0,1008.0,164.0,568.0,196.0,3.3516,107047.0,INLAND
-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,48858.0,INLAND
-117.86,33.99,10.0,17820.0,2812.0,8686.0,2666.0,6.3875,309239.0,<1H OCEAN
-118.34,34.04,37.0,1466.0,529.0,1835.0,500.0,1.7014,129591.0,<1H OCEAN
-122.35,37.94,47.0,1275.0,275.0,844.0,273.0,2.8967,109353.0,NEAR BAY
-118.17,33.83,46.0,1362.0,214.0,531.0,222.0,4.3125,291382.0,NEAR OCEAN
-118.21,33.81,40.0,1815.0,428.0,1807.0,413.0,3.0882,169265.0,NEAR OCEAN
-120.58,39.27,15.0,4126.0,903.0,723.0,266.0,3.0147,124335.0,INLAND
-118.47,34.24,19.0,2405.0,661.0,1855.0,621.0,2.3111,229804.0,<1H OCEAN
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,120262.02,NEAR BAY
-122.25,37.49,44.0,4420.0,743.0,1790.0,735.0,6.142,402700.11,NEAR OCEAN
-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107,80551.0,INLAND
-122.48,37.76,52.0,2684.0,574.0,1395.0,549.0,3.9097,328612.0,NEAR BAY
-119.16,34.23,26.0,5444.0,1293.0,3700.0,1158.0,2.7556,207192.0,NEAR OCEAN
-122.59,38.04,25.0,3412.0,455.0,1238.0,406.0,8.3646,392925.03,NEAR BAY
-121.98,37.27,29.0,2658.0,484.0,1318.0,498.0,5.3561,295423.0,<1H OCEAN
-118.41,34.23,35.0,1026.0,195.0,753.0,185.0,4.5909,185894.0,<1H OCEAN
-117.24,32.74,45.0,1718.0,293.0,757.0,329.0,4.05,303842.03,NEAR OCEAN
-118.3,33.87,31.0,1398.0,261.0,823.0,263.0,5.0641,232082.0,<1H OCEAN
-122.23,37.76,52.0,3037.0,516.0,1242.0,518.0,5.2128,309948.01,NEAR BAY
-117.84,33.8,34.0,2004.0,331.0,843.0,328.0,3.59,227082.0,<1H OCEAN
-118.9,34.17,14.0,4719.0,734.0,1880.0,731.0,5.3558,306830.02,<1H OCEAN
-117.13,32.92,16.0,2173.0,399.0,1460.0,393.0,4.2614,170108.0,<1H OCEAN
-118.35,33.94,38.0,1794.0,508.0,2188.0,454.0,2.6654,144840.0,<1H OCEAN
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,223035.0,NEAR BAY
-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,200972.0,NEAR OCEAN
-118.35,34.32,52.0,102.0,29.0,54.0,32.0,1.9875,190921.0,<1H OCEAN
-121.08,39.21,17.0,3033.0,590.0,1319.0,583.0,2.4811,122381.0,INLAND
-118.03,33.94,30.0,2572.0,521.0,1564.0,501.0,3.4861,178124.0,<1H OCEAN
-117.18,32.74,39.0,3132.0,738.0,1200.0,690.0,2.5288,249923.0,NEAR OCEAN
-121.43,38.56,50.0,1533.0,288.0,532.0,257.0,2.5417,120642.0,INLAND
-117.06,32.68,36.0,3815.0,796.0,2945.0,728.0,2.0959,119882.0,NEAR OCEAN
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,218457.0,NEAR BAY
-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161,86623.0,INLAND
-117.81,33.73,19.0,4022.0,975.0,2334.0,954.0,3.0305,158113.01,<1H OCEAN
-119.19,34.19,35.0,2599.0,552.0,2726.0,543.0,3.2212,183768.0,NEAR OCEAN
-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,76126.0,INLAND
-122.35,38.3,18.0,3735.0,557.0,1504.0,521.0,5.6304,236497.0,NEAR BAY
-122.23,37.76,52.0,1705.0,246.0,658.0,253.0,5.75,324018.07,NEAR BAY
-121.99,38.36,33.0,146.0,31.0,75.0,31.0,3.5179,109851.0,INLAND
-121.55,38.55,10.0,6227.0,1164.0,2909.0,1077.0,4.106,139117.0,INLAND
-119.44,36.6,5.0,2353.0,608.0,2505.0,573.0,2.2863,81075.0,INLAND
-122.55,38.1,26.0,5188.0,892.0,2341.0,906.0,5.0029,264660.0,NEAR BAY
-117.01,32.72,12.0,2914.0,734.0,2104.0,703.0,2.3068,133511.0,NEAR OCEAN
-118.49,34.03,31.0,3155.0,808.0,1208.0,745.0,3.6769,430971.06,<1H OCEAN
-118.11,33.82,37.0,1987.0,347.0,1095.0,357.0,4.3203,225623.0,<1H OCEAN
-122.05,37.95,27.0,3513.0,791.0,1875.0,694.0,3.1838,181614.0,NEAR BAY
-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694,167731.0,INLAND
-117.43,33.81,13.0,4770.0,718.0,1985.0,662.0,4.2273,251459.0,INLAND
-118.38,34.05,52.0,2053.0,480.0,900.0,417.0,3.0707,388936.06,<1H OCEAN
-121.32,38.74,14.0,1449.0,228.0,670.0,232.0,4.3897,180314.0,INLAND
-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,143226.0,<1H OCEAN
-117.17,33.66,2.0,7401.0,1187.0,2826.0,839.0,4.1386,182507.0,<1H OCEAN
-122.47,37.7,45.0,3290.0,693.0,2466.0,666.0,3.6588,242819.0,NEAR OCEAN
-121.07,39.04,9.0,2374.0,372.0,884.0,333.0,4.5042,199998.0,INLAND
-117.64,34.07,43.0,1970.0,379.0,1036.0,391.0,3.2083,128475.0,INLAND
-117.36,33.98,46.0,1680.0,453.0,1570.0,435.0,2.0436,87615.0,INLAND
-119.17,34.29,18.0,3932.0,724.0,1896.0,680.0,5.2953,284045.03,NEAR OCEAN
-119.06,36.15,20.0,1282.0,273.0,852.0,247.0,1.6354,52371.0,INLAND
-122.23,37.46,26.0,4670.0,1039.0,2103.0,933.0,4.4167,345788.05,NEAR OCEAN
-118.1,34.09,44.0,2352.0,484.0,1517.0,463.0,4.2833,243679.0,<1H OCEAN
-117.14,32.81,34.0,1748.0,294.0,800.0,294.0,4.4886,176480.0,NEAR OCEAN
-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,162301.0,INLAND
-118.09,34.08,34.0,1513.0,384.0,986.0,336.0,2.6901,219705.0,<1H OCEAN
-118.46,34.18,35.0,1819.0,465.0,1336.0,419.0,3.4583,236229.0,<1H OCEAN
-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474,482198.85,<1H OCEAN
-118.84,34.21,16.0,4975.0,949.0,2537.0,971.0,5.2361,241240.0,<1H OCEAN
-122.04,38.0,16.0,3077.0,733.0,1447.0,709.0,3.2484,123281.0,NEAR BAY
-122.2,38.04,31.0,3029.0,500.0,1236.0,487.0,5.6022,239750.01,NEAR BAY
-121.39,38.43,3.0,2696.0,384.0,990.0,316.0,5.4445,220453.0,INLAND
-119.68,36.81,13.0,2589.0,413.0,1356.0,435.0,5.0253,115504.0,INLAND
-121.24,37.95,36.0,361.0,63.0,169.0,62.0,3.7734,95563.0,INLAND
-118.23,33.98,25.0,986.0,310.0,1439.0,251.0,2.39,155628.0,<1H OCEAN
-119.74,36.71,17.0,5872.0,1250.0,5034.0,1224.0,2.1905,68779.0,INLAND
-117.7,34.05,24.0,2834.0,470.0,1815.0,471.0,4.7357,166922.0,INLAND
-122.42,37.66,28.0,3520.0,672.0,1746.0,602.0,4.9236,276264.01,NEAR OCEAN
-118.13,34.08,34.0,3848.0,991.0,2814.0,972.0,2.6716,217025.0,<1H OCEAN
-118.04,34.17,52.0,1885.0,401.0,764.0,373.0,4.0385,273376.0,INLAND
-119.77,36.83,16.0,2360.0,355.0,1034.0,359.0,5.0635,113850.0,INLAND
-122.07,37.35,35.0,1579.0,210.0,570.0,196.0,8.5888,494360.9,<1H OCEAN
-118.35,34.18,46.0,2711.0,491.0,1277.0,490.0,4.282,235501.0,<1H OCEAN
-117.15,32.91,10.0,2349.0,431.0,1598.0,435.0,4.8229,181966.0,<1H OCEAN
-120.33,38.26,13.0,2962.0,546.0,252.0,103.0,4.4063,152644.0,INLAND
-121.33,37.96,20.0,1727.0,386.0,730.0,342.0,2.5195,108043.0,INLAND
-118.17,34.04,46.0,705.0,167.0,655.0,149.0,3.5938,142780.0,<1H OCEAN
-116.99,34.89,24.0,2741.0,577.0,1551.0,522.0,3.474,76231.0,INLAND
